Document,#States,RunningTime (in ns),#Moves
microban01.txt,182,25167658,33
microban02.txt,75,8513940,16
microban03.txt,762,93403200,41
microban04.txt,732,110889999,23
microban05.txt,8836,1652874553,25
microban06.txt,6930,1267703984,107
microban07.txt,20046,3911895070,26
microban08.txt,1708,288056262,99
microban09.txt,136,13318882,30
microban10.txt,2163,481983195,89
microban11.txt,1574,226174691,78
microban12.txt,320,44602370,49
microban13.txt,4167,668454799,52
microban14.txt,167,17924336,51
microban15.txt,315,41701440,37
microban16.txt,25851,4984676959,100
microban17.txt,304,39779185,25
microban18.txt,1135,157088945,71
microban19.txt,671,96288728,41
microban20.txt,965,143609319,50
microban21.txt,102,11393269,17
microban22.txt,1413,207036992,47
microban23.txt,311,39726188,56
microban24.txt,642,77843938,35
microban25.txt,806,107473862,29
microban26.txt,1061,137375373,41
microban27.txt,553,61106320,50
microban28.txt,215,29468635,33
microban29.txt,1826,324664760,104
microban30.txt,379,55049404,21
microban31.txt,670,81478875,17
microban32.txt,455,62623634,35
microban33.txt,4444,610374921,41
microban34.txt,3194,565836852,30
microban35.txt,66799,17960545257,77
microban36.txt,264996,106419813127,156
microban37.txt,3850,634678086,71
microban38.txt,596,90731745,43
microban39.txt,1579,276802474,85
microban40.txt,579,73632360,20
microban41.txt,774,94077950,50
microban42.txt,1833,244684652,47
microban43.txt,5424,1027787409,61
microban44.txt,2,135962,1
microban45.txt,1116,125083527,45
microban46.txt,306,35190705,47
microban47.txt,1629,255802097,83
microban48.txt,2906,620060418,64
microban49.txt,3262,792854175,82
microban50.txt,1240,205524917,76
microban51.txt,346,60015596,34
microban52.txt,5471,940519804,26
microban53.txt,1636,354918251,37
microban54.txt,60527,15822025041,82
microban55.txt,1225,190282292,64
microban56.txt,103,10642978,23
microban57.txt,998,146749273,60
microban58.txt,607,75067833,44
microban59.txt,68200,16366784221,178
microban60.txt,35029,7085900011,169
microban61.txt,7903,1417019630,100
microban62.txt,9187,1877498170,64
microban63.txt,3174,641549156,101
microban64.txt,4605,928579840,99
microban65.txt,81079,19995784503,138
microban66.txt,15724,3735998141,71
microban67.txt,440,51077507,37
microban68.txt,5387,803395126,98
microban69.txt,43715,9012903499,125
microban70.txt,29838,6404940376,78
microban71.txt,2736,541967981,120
microban72.txt,18108,3952125183,105
microban73.txt,11663,2068315208,102
microban74.txt,53741,10659271612,117
microban75.txt,19668,3555956862,92
microban76.txt,40337,9110431980,181
microban77.txt,63823,12757568935,189
microban78.txt,236405,106867277293,135
microban79.txt,1805,258809068,48
microban80.txt,32115,8208952652,131
microban81.txt,1667,222186961,46
microban82.txt,481,63280442,52
microban83.txt,136612,31735721707,164
microban84.txt,73211,17165466869,201
microban85.txt,132666,31888960076,155
microban86.txt,20652,3752642374,105
microban87.txt,146076,40949258853,149
microban88.txt,68419,17331077970,195
microban89.txt,94658,20622480054,146
microban90.txt,52447,9972720928,64
microban91.txt,4285,633938435,45
microban92.txt,25585,6543394822,126
microban93.txt,-1,-1,-1
microban94.txt,5730,890537880,83
microban95.txt,36309,15884326636,25
microban96.txt,16670,3767995099,92
microban97.txt,231205,59348522933,164
microban98.txt,-1,-1,-1
microban99.txt,-1,-1,-1
