Document,#States,RunningTime (in ns),#Moves
microban01.txt,182,13902162,33
microban02.txt,85,5507213,16
microban03.txt,734,45695397,41
microban04.txt,727,44511122,23
microban05.txt,8737,594312727,25
microban06.txt,6920,505218965,107
microban07.txt,19410,1197964491,26
microban08.txt,1697,149710291,97
microban09.txt,148,5955694,30
microban10.txt,2163,171923816,89
microban11.txt,1577,110845741,78
microban12.txt,318,21586476,49
microban13.txt,4155,286873136,52
microban14.txt,175,7943274,51
microban15.txt,314,20059412,37
microban16.txt,25805,2139019787,100
microban17.txt,276,12927678,25
microban18.txt,1180,83807630,71
microban19.txt,669,50384986,41
microban20.txt,971,74220784,50
microban21.txt,94,4039059,17
microban22.txt,1418,97616721,47
microban23.txt,304,14969632,56
microban24.txt,616,38346839,35
microban25.txt,647,38874790,29
microban26.txt,986,61149108,41
microban27.txt,553,25490466,50
microban28.txt,216,10817241,33
microban29.txt,1826,178933405,104
microban30.txt,369,16655635,21
microban31.txt,639,38572570,17
microban32.txt,453,25640795,35
microban33.txt,4445,250060123,41
microban34.txt,3097,187720713,30
microban35.txt,66579,4924286210,77
microban36.txt,265000,23018531774,156
microban37.txt,3853,291081973,71
microban38.txt,447,40475085,37
microban39.txt,1568,170153122,85
microban40.txt,517,23876951,20
microban41.txt,710,42941498,50
microban42.txt,1797,111013913,47
microban43.txt,5407,485120630,61
microban44.txt,1,44040,1
microban45.txt,1075,53947489,45
microban46.txt,305,17998722,47
microban47.txt,1626,137970375,83
microban48.txt,2890,198000499,64
microban49.txt,3261,263512323,82
microban50.txt,1261,95437826,76
microban51.txt,328,19986242,34
microban52.txt,4935,271030617,26
microban53.txt,1610,79588080,37
microban54.txt,60321,5904675601,82
microban55.txt,1239,92383697,64
microban56.txt,96,7422076,23
microban57.txt,1004,77294107,60
microban58.txt,614,32990917,44
microban59.txt,67975,7478466819,178
microban60.txt,35051,3122238591,169
microban61.txt,7902,646766872,100
microban62.txt,9111,735930508,64
microban63.txt,3213,365786374,101
microban64.txt,4676,407467788,99
microban65.txt,81023,6485107791,138
microban66.txt,16445,1857518263,71
microban67.txt,442,23819427,37
microban68.txt,5386,385535775,98
microban69.txt,43488,3734102245,125
microban70.txt,29378,2543708259,78
microban71.txt,2732,287887905,120
microban72.txt,17988,1836430478,105
microban73.txt,12405,970737032,102
microban74.txt,53686,4231056715,117
microban75.txt,19653,1414943039,92
microban76.txt,40282,4253767745,181
microban77.txt,63800,5143755515,189
microban78.txt,236332,20633165023,135
microban79.txt,1734,109789946,48
microban80.txt,32106,3275787099,131
microban81.txt,1649,100655025,46
microban82.txt,474,29748905,52
microban83.txt,136644,10819210396,164
microban84.txt,73161,8297192758,201
microban85.txt,132434,14868984783,155
microban86.txt,20676,1396733863,105
microban87.txt,145995,12619883965,149
microban88.txt,68373,8244318025,195
microban89.txt,94549,8499872720,146
microban90.txt,52094,3767597644,64
microban91.txt,4047,243201050,45
microban92.txt,25555,3252138058,126
microban93.txt,-1,-1,-1
microban94.txt,5727,403505479,83
microban95.txt,39163,2850953809,25
microban96.txt,16733,1826445659,92
microban97.txt,231202,29310324915,164
microban98.txt,-1,-1,-1
microban99.txt,-1,-1,-1
