Document,#States,RunningTime (in ns),#Moves
microban01.txt,13105,1359296593,33
microban02.txt,1033,89767920,16
microban03.txt,17591,2089686407,41
microban04.txt,11232,1290739070,23
microban05.txt,90243,15075660140,25
microban06.txt,-1,-1,-1
microban07.txt,223302,43135793950,26
microban08.txt,208516,36349669559,97
microban09.txt,1436,133942842,30
microban10.txt,282917,46854840540,89
microban11.txt,171726,25009574313,78
microban12.txt,8875,1301323563,49
microban13.txt,163395,27190796964,52
microban14.txt,6184,577379900,51
microban15.txt,5479,676192645,37
microban16.txt,-1,-1,-1
microban17.txt,3913,549422902,25
microban18.txt,144058,20766577173,71
microban19.txt,26973,3653716243,41
microban20.txt,72035,10511075933,50
microban21.txt,1045,88899915,17
microban22.txt,86267,11960899055,47
microban23.txt,37393,4282724623,56
microban24.txt,10783,1395818147,35
microban25.txt,10354,2309766919,29
microban26.txt,33067,4902872433,41
microban27.txt,20041,2177740397,50
microban28.txt,9915,1228808935,33
microban29.txt,488082,107102209983,104
microban30.txt,3838,476452483,21
microban31.txt,4735,489475679,17
microban32.txt,20187,2630115626,35
microban33.txt,282564,36494296337,41
microban34.txt,72568,11375838522,30
microban35.txt,-1,-1,-1
microban36.txt,-1,-1,-1
microban37.txt,327302,55464321428,71
microban38.txt,6169,871083594,37
microban39.txt,167373,29558176181,85
microban40.txt,2598,337547540,20
microban41.txt,25832,3397980003,50
microban42.txt,116167,17055977500,47
microban43.txt,421095,87860532487,61
microban44.txt,2,143004,1
microban45.txt,17142,2196736439,45
microban46.txt,21653,2494562213,47
microban47.txt,242538,43632708181,83
microban48.txt,301328,49616324041,64
microban49.txt,413070,75719457687,82
microban50.txt,173896,28848849802,76
microban51.txt,4631,560423475,34
microban52.txt,26034,3501263617,26
microban53.txt,42274,9333108720,37
microban54.txt,-1,-1,-1
microban55.txt,109160,17365081111,64
microban56.txt,1774,171369002,23
microban57.txt,117831,21021294683,60
microban58.txt,15332,2138405300,44
microban59.txt,-1,-1,-1
microban60.txt,-1,-1,-1
microban61.txt,-1,-1,-1
microban62.txt,343809,77547744063,64
microban63.txt,449096,91629956156,101
microban64.txt,-1,-1,-1
microban65.txt,-1,-1,-1
microban66.txt,-1,-1,-1
microban67.txt,9323,1126602298,37
microban68.txt,-1,-1,-1
microban69.txt,-1,-1,-1
microban70.txt,-1,-1,-1
microban71.txt,650475,134663738835,120
microban72.txt,-1,-1,-1
microban73.txt,-1,-1,-1
microban74.txt,-1,-1,-1
microban75.txt,-1,-1,-1
microban76.txt,-1,-1,-1
microban77.txt,-1,-1,-1
microban78.txt,-1,-1,-1
microban79.txt,61167,9515290709,48
microban80.txt,-1,-1,-1
microban81.txt,68892,10091945244,46
microban82.txt,17699,2461145003,52
microban83.txt,-1,-1,-1
microban84.txt,-1,-1,-1
microban85.txt,-1,-1,-1
microban86.txt,-1,-1,-1
microban87.txt,-1,-1,-1
microban88.txt,-1,-1,-1
microban89.txt,-1,-1,-1
microban90.txt,-1,-1,-1
microban91.txt,64643,10678996052,45
microban92.txt,-1,-1,-1
microban93.txt,-1,-1,-1
microban94.txt,-1,-1,-1
microban95.txt,93017,42921560865,25
microban96.txt,-1,-1,-1
microban97.txt,-1,-1,-1
microban98.txt,-1,-1,-1
microban99.txt,-1,-1,-1
